Collection text,Collection Description,MetaDescription,MetaKeywords,PageTitle,CollectionImageFilenameSource,CollectionImageFilename2,PageName
Horn Gemini XL, ,,,,https://www.quiltdirect.co.uk/acatalog/BERN79B.jpg,H2012GeminiXLA.jpg,#NAME?
Horn Super Quilter Sewing Cabinet,,,,,https://www.quiltdirect.co.uk/acatalog/FrontImageB.jpg,H2033SQA.jpg,Horn-Super-Quilter-Sewing-Cabinet.html
10 Degree Ruler ,,,,10 Degree Ruler  | Sewing & Quilting,https://www.quiltdirect.co.uk/acatalog/WRSQ15.jpg,WR10.jpg,10Degree-Ruler-.html
101 Maple Street,"By Bunny Hill Designs

Maple Island is just off the Canadian shore of Lake Superior.Tree-lined paths lead down to the water, creating a canopy  overhead.  In the Autumn, the colours are brilliant - oak and maple trees colour the island in spectacular shades of red, gold, orange and green.  The fabric line conveys these autumnal colours.  

",,,101 Maple Street Moda Fabric Designer Collection,https://www.quiltdirect.co.uk/acatalog/BerninaNew4GroupB.jpg,101-maple-street-group.jpg,101-Maple-Street.html
10m Zips with 20 Sliders,,,,,https://www.quiltdirect.co.uk/acatalog/GEOGROUPA.jpg,KN310FAWNA.jpg,10m-Zips-with-20-Sliders.html
10m Zips with 20 Sliders,,,,,https://www.quiltdirect.co.uk/acatalog/NN12A.jpg,KN310FAWNA.jpg,10m-Zips-with-20-Sliders-1.html
18mm Replacement Blades ,,,,18mm Replacement Blades for Rotary Cutters | Sewing & Quilting,https://www.quiltdirect.co.uk/acatalog/JT722.jpg,OL18BLADE.jpg,18mm-Replacement-Blades.html
18mm Replacement Blades ,,,,,https://www.quiltdirect.co.uk/acatalog/OL28BLADE.jpg,OL18BLADE.jpg,Repalcement-Blades-for-18mm-Rotary-Cutters.html
18mm Rotary Cutters,"
18mm Cutters are ideal for trimmimg seams, small detailing, applique shapes and templates.
",,,18mm Rotary Cutters for Sewing & Quilting,https://www.quiltdirect.co.uk/acatalog/OL28.jpg,CL7503.jpg,18mm-Rotary-Cutters.html
18mm Rotary Cutters,"
18mm Cutters are ideal for trimmimg seams, small detailing, applique shapes and templates.",,,,https://www.quiltdirect.co.uk/acatalog/OL28.jpg,CL7503.jpg,18mm-Rotary-Cutters-1.html
18mm Rotary Cutters,,,,,https://www.quiltdirect.co.uk/acatalog/BTC28A.jpg,CL7503.jpg,18mm-Rotary-Cutters-2.html
